type,label,element_solr_field,position
FormHeader,Identification,,1
FormGroup,Descriptive,,2
FormControl,,dct_title_s,3
FormControl,NULL,dct_alternative_sm,4
FormControl,,dct_description_sm,5
FormControl,,dct_language_sm,6
FormGroup,Credits,,7
FormControl,,dct_creator_sm,8
FormControl,,b1g_creatorID_sm,9
FormControl,,dct_publisher_sm,10
FormControl,,schema_provider_s,11
FormGroup,Categories,,12
FormControl,,gbl_resourceClass_sm,13
FormControl,,gbl_resourceType_sm,14
FormControl,,dct_subject_sm,15
FormControl,,dcat_theme_sm,16
FormControl,,dcat_keyword_sm,17
FormGroup,Temporal,,18
FormControl,,dct_temporal_sm,19
FormControl,,dct_issued_s,20
FormControl,,gbl_dateRange_drsim,21
FormGroup,Spatial,,22
FormControl,,dct_spatial_sm,23
FormControl,,dcat_bbox,24
FormControl,,locn_geometry,25
FormControl,,b1g_geonames_sm,26
FormGroup,Relations,,27
FormControl,,dct_relation_sm,28
FormControl,,pcdm_memberOf_sm,29
FormControl,,dct_isPartOf_sm,30
FormControl,,dct_source_sm,31
FormControl,,dct_isVersionOf_sm,32
FormControl,,dct_replaces_sm,33
FormControl,,dct_isReplacedBy_sm,34
FormHeader,Distribution,,35
FormGroup,Object,,36
FormControl,,dct_format_s,37
FormControl,,gbl_fileSize_s,38
FormControl,,gbl_wxsIdentifier_s,39
FormControl,,gbl_georeferenced_b,40
FormGroup,Links,,41
FormControl,,dct_references_s,42
FormControl,,b1g_image_ss,43
FormFeature,Multiple Download Links,,44
FormHeader,Administrative,,45
FormGroup,Codes,,46
FormControl,,geomg_id_s,47
FormControl,,dct_identifier_sm,48
FormControl,,b1g_code_s,49
FormGroup,Rights,,50
FormControl,,dct_accessRights_s,51
FormControl,,dct_rightsHolder_sm,52
FormControl,,dct_license_sm,53
FormControl,,dct_rights_sm,54
FormGroup,Life Cycle,,55
FormControl,,date_created_dtsi,56
FormControl,,date_modified_dtsi,57
FormControl,,b1g_dct_accrualMethod_s,58
FormControl,,b1g_dct_accrualPeriodicity_s,59
FormControl,,b1g_dateAccessioned_sm,60
FormControl,,b1g_dateRetired_s,61
FormControl,,b1g_status_s,62
FormControl,,b1g_publication_state_s,63
FormGroup,Accessibility,,64
FormControl,,gbl_suppressed_b,65
FormControl,,b1g_child_record_b,66
FormControl,,b1g_dct_mediator_sm,67
FormControl,,b1g_access_s,68
FormHeader,Related Items,,69
FormFeature,Institutional Access Links,,70